InputSize,RuntimeSeconds
850000,0.1362722
851000,0.1279473
852000,0.1382393
853000,0.1506664
854000,0.1253546
855000,0.1267133
856000,0.1670247
857000,0.1389454
858000,0.1265137
859000,0.1461451
860000,0.1387333
861000,0.1244505
862000,0.1281232
863000,0.1635313
864000,0.1270392
865000,0.1300609
866000,0.127792
867000,0.1451596
868000,0.1454097
869000,0.1362098
870000,0.1482753
871000,0.1297563
872000,0.1429516
873000,0.1344251
874000,0.1448401
875000,0.1284951
876000,0.1317653
877000,0.1529952
878000,0.148288
879000,0.1308941
880000,0.1338609
881000,0.1416998
882000,0.1406466
883000,0.127015
884000,0.1658441
885000,0.1280094
886000,0.1319099
887000,0.1512668
888000,0.1574281
889000,0.1466411
890000,0.1408549
891000,0.1740715
892000,0.1338259
893000,0.133448
894000,0.1436568
895000,0.1505005
896000,0.1442883
897000,0.1304548
898000,0.1490951
899000,0.1501836
900000,0.1490027
901000,0.1396977
902000,0.1296274
903000,0.1300627
904000,0.1679398
905000,0.1366859
906000,0.1331443
907000,0.1375519
908000,0.1364991
909000,0.1490612
910000,0.1440374
911000,0.1700588
912000,0.1479466
913000,0.15355
914000,0.1440354
915000,0.133726
916000,0.1665618
917000,0.1481892
918000,0.1440231
919000,0.1613081
920000,0.1442292
921000,0.1305689
922000,0.1380006
923000,0.1522504
924000,0.1696936
925000,0.1359004
926000,0.1351629
927000,0.1329709
928000,0.140991
929000,0.1399158
930000,0.1367507
931000,0.1460039
932000,0.1482859
933000,0.1379649
934000,0.132089
935000,0.1557155
936000,0.1322312
937000,0.1556212
938000,0.1680313
939000,0.1438852
940000,0.1487403
941000,0.1473337
942000,0.1471407
943000,0.1409908
944000,0.1762249
945000,0.1566972
946000,0.1451222
947000,0.136631
948000,0.1418942
949000,0.1331479
950000,0.1451571
951000,0.1552229
952000,0.1402874
953000,0.1534113
954000,0.1461544
955000,0.1497654
956000,0.133546
957000,0.1384993
958000,0.1648497
959000,0.1309622
960000,0.1522089
961000,0.1775081
962000,0.1432985
963000,0.135877
964000,0.1575776
965000,0.1380859
966000,0.1404416
967000,0.1405721
968000,0.1498121
969000,0.1400947
970000,0.1509516
971000,0.1653837
972000,0.1355039
973000,0.137199
974000,0.1338099
975000,0.141515
976000,0.148148
977000,0.1428287
978000,0.1748019
979000,0.1577596
980000,0.1530104
981000,0.1373279
982000,0.1392552
983000,0.1394699
984000,0.1880917
985000,0.1391457
986000,0.1380896
987000,0.1581824
988000,0.158179
989000,0.1639969
990000,0.1521943
991000,0.1554123
992000,0.1416148
993000,0.1452953
994000,0.1599751
995000,0.1413713
996000,0.1568017
997000,0.1723622
998000,0.1445154
999000,0.1426596
1000000,0.148059
